RMSE,INTERCEPT,INCREASE,A1,OMEGA1,A2,OMEGA2,A3,OMEGA3,A4,OMEGA4
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
1.11558639410096,2.005158E+002, 2.918530E-002, 9.852574E-001, 6.280539E-001, 1.500000E+000, 1.836652E-001, 3.954575E+000, 6.145430E-002, 7.961201E+000, 2.594748E-002, 
